date,vader_compound_score,vader_positive_ratio,vader_negative_ratio
2020/12,0.5146000000000001,0.07133333333333333,0.052333333333333336
2021/01,-0.21786666666666663,0.081,0.06733333333333334
2021/02,0.9978666666666668,0.12,0.033
2021/03,0.4650666666666667,0.055,0.03766666666666667
2021/04,-0.11680000000000003,0.067,0.07766666666666666
2021/05,0.2976666666666667,0.065,0.05533333333333334
2021/06,0.14633333333333332,0.07366666666666667,0.05933333333333333
2021/07,0.08913333333333334,0.07366666666666666,0.06566666666666666
2021/08,-0.1632,0.08333333333333333,0.08233333333333333
2021/09,0.6627666666666667,0.059,0.04033333333333333
2021/10,0.3401666666666667,0.07066666666666667,0.056
2021/11,0.2936666666666667,0.057999999999999996,0.055
2021/12,0.9695,0.09133333333333334,0.05833333333333333
