date,total_vaccinations,ppl_vaccinated,ppl_fully_vaccinated
"Jan 04, 2021",0.2047842572427616,0.20478958785249457,0.0
"Jan 05, 2021",0.128371322602715,0.1283524904214559,1.0
"Jan 06, 2021",0.17926984937452128,0.1764619528447604,73.5
"Jan 07, 2021",0.20100883269830283,0.1962011924848499,2.1834451901565997
"Jan 08, 2021",0.18866827694359833,0.1841259042565253,0.8924806746310612
"Jan 09, 2021",0.1372722964647901,0.1339311021058518,0.46119569253620507
"Jan 10, 2021",0.07836417942290264,0.07935172893676379,0.004066073697585715
"Jan 11, 2021",0.11852843346976116,0.1199595670039213,0.0027841052898001095
"Jan 12, 2021",0.08625754833003985,0.08287297449095066,0.3919737506309944
"Jan 13, 2021",0.07712328836828264,0.05817083020455138,1.4088848594741612
"Jan 14, 2021",0.10071830290604433,0.09649477899110903,0.23108769288671427
"Jan 15, 2021",0.10616546387438608,0.10322833174689316,0.18691531641699788
"Jan 16, 2021",0.07348992767793394,0.0739789541587712,0.06099320008242315
"Jan 17, 2021",0.051675780784091296,0.05131222806602631,0.06107982132452894
"Jan 18, 2021",0.07095982637653808,0.07241628652282195,0.03363228699551568
"Jan 19, 2021",0.06319354859413018,0.061824175275324356,0.09960600292177602
"Jan 20, 2021",0.06540764138001798,0.04733376189654903,0.5294899150529409
"Jan 21, 2021",0.06104225392013829,0.055831096486566256,0.15266773709562798
"Jan 22, 2021",0.05076468766353748,0.044934372930765853,0.14466442876390118
"Jan 23, 2021",0.03491849724936147,0.03134752850885536,0.08741970235007779
"Jan 24, 2021",0.01801677932268886,0.01581046909084205,0.04878183019006377
"Jan 25, 2021",0.028277359059390994,0.019702544933640542,0.1440866234016127
"Jan 26, 2021",0.034780151026329253,0.027229945573133296,0.12566509693596717
"Jan 27, 2021",0.02620030917226157,0.01677685960632247,0.12971489887670962
"Jan 28, 2021",0.027629727634365997,0.018337567387124665,0.11949791398651
"Jan 29, 2021",0.023402672994501827,0.014729274642336865,0.10140475985909436
"Jan 30, 2021",0.01591358735145998,0.007816747752773301,0.08300017551728844
"Jan 31, 2021",0.005346167442956684,0.00305597204900776,0.02300433976194327
"Feb 01, 2021",0.018828000172733894,0.015983040211974053,0.04033585340738077
"Feb 02, 2021",0.011721596195804596,0.007655534191510993,0.041741396230245975
"Feb 03, 2021",0.013632632134389144,0.004905712300556253,0.0759554321168121
"Feb 04, 2021",0.01926513597877566,0.007946162542138202,0.0947611535877908
"Feb 05, 2021",0.022758058053709007,0.011504189312229851,0.09186740758104328
"Feb 06, 2021",0.02040332774178566,0.00871398032778159,0.08690353663233807
"Feb 07, 2021",0.012817417255731378,0.006671310065722746,0.045267059383968355
"Feb 08, 2021",0.019562369954128966,0.011439751661419972,0.06086391071885111
"Feb 09, 2021",0.024014018704147766,0.010208073520607375,0.0909433823876109
"Feb 10, 2021",0.026179586151870327,0.010362733099983812,0.09718300389942192
"Feb 11, 2021",0.028755652405213494,0.013390451243489698,0.0922603546152061
"Feb 12, 2021",0.031057089653354852,0.01468249739323757,0.09385218311213706
"Feb 13, 2021",0.02735426477526559,0.013045998729379393,0.07826048730094182
"Feb 14, 2021",0.012702336898270161,0.0023936600027036903,0.04716038812785395
"Feb 15, 2021",0.008228357588614621,0.0017430470774808526,0.028979582566827977
"Feb 16, 2021",0.019889247914107733,0.008651483971928942,0.05489533310841277
"Feb 17, 2021",0.016119047297063815,0.004953485804891189,0.04937544648328096
"Feb 18, 2021",0.02036245766139322,0.007770075274164512,0.05628094041779885
"Feb 19, 2021",0.03658981079383117,0.025544324292722687,0.06664383543173957
"Feb 20, 2021",0.036230779770210164,0.032892867978271845,0.04495501212233055
"Feb 21, 2021",0.02786515762439845,0.026920259792013068,0.030307282505873
"Feb 22, 2021",0.04083919039627637,0.02733499303598963,0.07564927440943037
"Feb 23, 2021",0.03130682950329278,0.02727091359688605,0.04124424767942436
"Feb 24, 2021",0.028477566640355167,0.027458437306601136,0.03095379364277351
"Feb 25, 2021",0.03499475955482079,0.035070814533045835,0.03481157457400652
"Feb 26, 2021",0.039295819466574455,0.04507552085446909,0.025302102187084285
"Feb 27, 2021",0.03445089414260183,0.042120206764581614,0.015523474007429261
"Feb 28, 2021",0.024555997097859716,0.029989924613453844,0.010794130137309565
"Mar 01, 2021",0.03117510497037057,0.033533821421620535,0.025088508133785492
"Mar 02, 2021",0.038209467864966706,0.04541206531440878,0.01946883310867431
"Mar 03, 2021",0.03663470409045,0.04561705433104879,0.012668224733234812
"Mar 04, 2021",0.03745680699245102,0.047685926119476196,0.00927556382089012
"Mar 05, 2021",0.03922181385037282,0.05075715481192011,0.006232354046659561
"Mar 06, 2021",0.032180967551442397,0.0415256416372205,0.0042739497550297045
"Mar 07, 2021",0.024158544432603346,0.031039303641816174,0.0028475538025050096
"Mar 08, 2021",0.03573034940033715,0.04150951777818479,0.017328346725641097
"Mar 09, 2021",0.028211812293290395,0.03472755010696793,0.006967583525369969
"Mar 10, 2021",0.030772810169881204,0.037237181684832255,0.009118617809511065
"Mar 11, 2021",0.037132959369770235,0.04545652808162148,0.00847385503667053
"Mar 12, 2021",0.04070511892001516,0.05048971523828416,0.005779925967968058
"Mar 13, 2021",0.03700719015925236,0.045610781933791644,0.004929042192995947
"Mar 14, 2021",0.0312151459391119,0.03843769321507784,0.0031989679481092548
"Mar 15, 2021",0.040613812971925345,0.04853931342183215,0.008791140645195039
"Mar 16, 2021",0.038123805357688445,0.04550896857423381,0.007300663417254105
"Mar 17, 2021",0.04259323180498664,0.0503936435720207,0.008802330586051177
"Mar 18, 2021",0.04553498946979184,0.05362592092454932,0.009042325405909768
"Mar 19, 2021",0.04572146352893336,0.05323706834175712,0.01032599864002881
"Mar 20, 2021",0.03539224395556895,0.04096264912979852,0.008042074886552175
"Mar 21, 2021",0.023119038857196017,0.026700988404955828,0.0049587007305602615
"Mar 22, 2021",0.03650824849704204,0.04253258821054162,0.005304185234911829
"Mar 23, 2021",0.030529720062212107,0.03488888222843545,0.007113132384915621
"Mar 24, 2021",0.04037807508259528,0.04628532970715682,0.007770857154167254
"Mar 25, 2021",0.04300243578566887,0.048674016297695744,0.010501316630332713
"Mar 26, 2021",0.04714383292495383,0.05290261371989269,0.012896416034254843
"Mar 27, 2021",0.03500941554177839,0.039120422598263094,0.009594180907875227
"Mar 28, 2021",0.02948646441404823,0.0331623403747876,0.006098006707661252
"Mar 29, 2021",0.036412019571265164,0.040659117778139464,0.008662166776863156
"Mar 30, 2021",0.032583230654108064,0.0356237212520798,0.012087142680147434
"Mar 31, 2021",0.04052468560639788,0.044636292557343804,0.012163424035893877
"Apr 01, 2021",0.03633098546906077,0.039301397166160656,0.015182944923149977
"Apr 02, 2021",0.02867030015560168,0.03139461001351562,0.008814765251289325
"Apr 03, 2021",0.0316728274699416,0.0352621483317046,0.004924336052291922
"Apr 04, 2021",0.01912496791192031,0.021460060186426322,0.001198405041773265
"Apr 05, 2021",0.02814879214630861,0.02941967831664294,0.01819613666483333
"Apr 06, 2021",0.030501391564460523,0.032318869946663886,0.016109595651562003
"Apr 07, 2021",0.03437074383940586,0.03572329894655413,0.02349106173477944
"Apr 08, 2021",0.03664536910601579,0.03825017131030539,0.023582181893173848
"Apr 09, 2021",0.041414341049789805,0.04347740557425395,0.024379955070668036
"Apr 10, 2021",0.03182708601578366,0.033173645396326945,0.020501612175582773
"Apr 11, 2021",0.023214786171306567,0.02523424198330937,0.006016803685969796
"Apr 12, 2021",0.04172841421411522,0.043889737998194844,0.02297137109809988
"Apr 13, 2021",0.032415423993076065,0.034098592748098344,0.017509115063410352
"Apr 14, 2021",0.03443138895959885,0.03647539171246672,0.01603448236195426
"Apr 15, 2021",0.03442722829126188,0.036107460442688755,0.019001350688873986
"Apr 16, 2021",0.03469654218129459,0.03750206487541008,0.00850410428027315
"Apr 17, 2021",0.026514457713788353,0.026518909606858765,0.026472694422104537
"Apr 18, 2021",0.020344849433519663,0.02183772831304731,0.006006102698345783
"Apr 19, 2021",0.02608549538694782,0.026531927013907053,0.02172908787334027
"Apr 20, 2021",0.023143155327999043,0.024236571385349404,0.012425836551172464
"Apr 21, 2021",0.03014591613214357,0.03177090549171302,0.014030788525364546
"Apr 22, 2021",0.03358219872440027,0.03510047963037666,0.01826307534891658
"Apr 23, 2021",0.03236311632505684,0.03366108912729948,0.01904624918343245
"Apr 24, 2021",0.024869782410678054,0.02576746792634088,0.015530135952402047
"Apr 25, 2021",0.019519543824367602,0.020480439921954696,0.009422288799618483
"Apr 26, 2021",0.021685999864591965,0.022910815515365224,0.008672653698164945
"Apr 27, 2021",0.021124004214993608,0.02125868447552448,0.01967131993409721
"Apr 28, 2021",0.020961893330469383,0.021486065075799976,0.01530348993201236
"Apr 29, 2021",0.023683435543589093,0.024093802225246153,0.019228127878633705
"Apr 30, 2021",0.021318964966997145,0.02179062083209482,0.01617289418622092
"May 01, 2021",0.017328895084314233,0.017369751849632964,0.016876506830967086
"May 02, 2021",0.012597875503151501,0.012834845657952343,0.009994887792256657
"May 03, 2021",0.01629623361592092,0.017093400632190114,0.0075235606240595665
"May 04, 2021",0.016578665682579707,0.016542314854987694,0.016978462505895298
"May 05, 2021",0.019912271313138552,0.020308676139736193,0.015507067149683751
"May 06, 2021",0.024494309761960986,0.024985502603598997,0.01901048517729831
"May 07, 2021",0.026578614442925197,0.027078636451703497,0.020963147045666597
"May 08, 2021",0.02134714390226833,0.021786160123152376,0.016391343830960636
"May 09, 2021",0.01729433137113001,0.018238713751017377,0.006575040663700404
