date,total_vaccinations,ppl_vaccinated,ppl_fully_vaccinated
"Dec 17, 2020",1.1411450008972053,1.1667724997481903,0.12592898431048716
"Dec 18, 2020",0.8116895899151999,0.8239890374634178,0.1886688668866887
"Dec 19, 2020",0.1955370186690879,0.19706337967302923,0.14931358938762918
"Dec 20, 2020",0.09416541215364416,0.09508575787112772,0.09153133807542613
"Dec 21, 2020",0.31384846159729407,0.31712440333347147,0.13930898807328163
"Dec 22, 2020",0.28176094251436057,0.2834612267110941,0.2578243039067558
"Dec 23, 2020",0.28313848437789946,0.2838818973862536,0.1903903903903903
"Dec 24, 2020",0.07523213781439164,0.07505160420934565,0.07085195329393112
"Dec 25, 2020",0.004465510339235035,0.0045204838272607795,0.006125058894796975
"Dec 26, 2020",0.05022719864685099,0.050130517793913976,0.04716350013379711
"Dec 27, 2020",0.03264268992917296,0.032331159652229324,0.04018399028940145
"Dec 28, 2020",0.19160768223006652,0.1919512193499151,0.19229824345903457
"Dec 29, 2020",0.19630310614015745,0.19613217186663134,0.22351001905939327
"Dec 30, 2020",0.1920519431143941,0.19269444621390686,0.25181037386325356
"Dec 31, 2020",0.08014485329674326,0.08030877848676776,0.09030370295631118
"Jan 01, 2021",0.015601201489541028,0.014659921760146855,0.17323709050527492
"Jan 02, 2021",0.04573323300423082,0.04527885865757053,0.06899090287637377
"Jan 03, 2021",0.022819916873017432,0.022166460262802445,0.056643219046682125
"Jan 04, 2021",0.10672194985858163,0.09971365390776721,1.0447382509718115
"Jan 05, 2021",0.12185072857260026,0.11048419705701962,0.9989185374072218
"Jan 06, 2021",0.13413302878911515,0.1137009789002641,0.990141976046881
"Jan 07, 2021",0.13595251894742488,0.10713479927216851,0.8020832439083716
"Jan 08, 2021",0.12657358516401218,0.09483590824608856,0.5745402518789291
"Jan 09, 2021",0.04610627820108126,0.037657900912377196,0.12943013144916815
"Jan 10, 2021",0.0216147511407192,0.017185935183290146,0.061242968122153796
"Jan 11, 2021",0.09039134825751294,0.06954285638583935,0.2700948938397254
"Jan 12, 2021",0.09756606339490848,0.08241783738580377,0.20782449701554828
"Jan 13, 2021",0.0935026812908093,0.08548903288827492,0.14861131450818044
"Jan 14, 2021",0.08521918366771608,0.08874522484654235,0.06459766195973815
